comment,code,Expected
xxx todo add standard entries, component context context new component context context entries null,
clean url is decoded value of url parameter,if pair starts with url,
only after successful save following statement marks that base is unchanged since last save,panel set non undoable change false,
entry added event is fired when new bib entry was added to bib database,public class entry added event extends entry event,
@formatter off,library get items add all,
 code removed entry event< code is fired when code bib entry< code was removed from database,,
 metadata user specific directory,meta data get user file directory preferences get user,
bibliography database,public class bib database,
reference to entry editor works on,private bib entry entry,
small table where entry type is associated with bibtex key pattern code parent bibtex key pattern can be set,public abstract class abstract bibtex key pattern,
actions for tree view,private void item boolean expand,
add as child,target add child target index,
add given new possible suggestions to this suggestion provider,public void add possible suggestions @suppress warnings unchecked new possible,
added externally,field changes add new field change view model field mem entry tmp entry mem or else null tmp or else null disk or else null,
adds given function to list of subscribers are notified when something changes in subtree following events are supported text in parentheses specifies node is passed as source add child new parent remove child old parent move old parent and new parent,public void subscribe to descendant changed consumer subscriber,
entries,entries frame get current base panel get database get entries,
groups need name,boolean ok enabled name field get text trim is empty,
set call operation in new thread,background task wrap this::push entries,
alt on win,move,
action class representing process of invoking push to application operation,public class push to application action extends simple command,
enum contains possible bib database modes possible are bib te and biblatex,public enum bib database mode,
object executes submitted @link task interface provides way of decoupling task submission from mechanics of how task will be run including details of thread use scheduling thread pooling etc,public interface task executor,
arrow indicating expanded status,new view model tree table cell factory group node view model,
as doi field is empty we now check if note url or ee field contains doi,for field field fields,
asks for details about merge database operation,public class append database dialog extends base dialog boolean,
backwards compatibility stub,public static final component context default bootstrap initial component context string ini file hashtable string string bootstrap parameters throws exception,
base action is used to define actions are called from base frame through run command run command finds appropriate base action object and runs action method,@functional interface,
binds propert bidirectional to property using update to update property when property changed and similar for update,public static void bind bidirectional observable value property observable value property consumer update consumer update,
binds propert bidirectional to property while using update to update property when property changed,public static void bind bidirectional property property observable value property consumer update,
bootstrap offers functionality to obtain context or simply service manager service manager can create few basic services implementationsare ul li com sun star comp loader java loader< li li com sun star comp urlresolver url resolver< li li com sun star comp bridgefactory bridge factory< li li com sun star comp connections connector< li li com sun star comp connections acceptor< li li com sun star comp servicemanager ul other services can be inserted into service manager by using set interface pre set set uno runtime query interface set class multi component factory insert service manager set insert single component factory,public class bootstrap,
can not use background task wrap runnable because runnable run ca not throw exceptions,return null,
check if given key combination equals given key event,public static boolean check key combination equality key combination combination key event key event,
check if we are inside footnote,if uno runtime query interface footnote class range get text null,
check that there are empty strings,if layout file get is empty or name get is empty or extension get is empty,
check potentially different fields,for field field different fields,
check whether old default label pattern is set,string old default null,
checks if there is more than one occurrence of key,private boolean is duplicate cite key existing string cite key,
class for generating dialog showing warnings from parser result,public class parser result warning dialog,
class is indirectly constructed by log4j,@suppress warnings unused,
cleanup entry,list field change cleanup bib entry entry,
clip content if it expands above pref height idea why is needed but otherwise sometimes text is still visible,clip set height compute pref height this get width,
comparator for rankings inverse comparison of ranking as rank5 is higher than rank1,public class ranking field comparator implements comparator optional special field value view model,
concatenate pages,if pages null or pages null,
constructs tree node without parent and children,public tree node class deriving class,
continuation folding of previous line,if previous line null,
convert given string according to format character title lower up and append result to string buffer return updated position,private int convert accented char int start string string builder sb format mode format,
converts legacy explicit groups where group contained list of assigned entries to new format where entry stores list of groups it belongs to,public class convert legacy explicit groups implements post open migration,
converts legacy explicit groups where group contained list of assigned entries to new format where entry stores list of groups it belongs to,public class convert marking to groups implements post open migration,
could not resolve string display characters rather than removing them,new res append res next string end,
create url resolver, uno url resolver url resolver uno url resolver create local context,
create desktop is root frame of hierarchy of frames contain viewable components,object desktop,
creates column for specific file types shows icon for given type or file multiple icon,private table column bib entry table view model list linked file create extra file column string external file type name,
creates copy of node completely separated from tree children and parent,public abstract copy node,
creating new group defaults,color field set value icon theme get default group color,
css calendar,date picker material design icon calendar,
css eye,read status skimmed color orange material design icon eye,
css import,import,
css label,label,
css mdi alphabetical,case sensitive material design icon alphabetical,
ctrl on windows no modifier on xubuntu,copy,
default,return new simple editor field suggestion provider field checkers preferences is single line,
description panel,scroll pane description pane new scroll pane description text flow,
determines bibtex cite keys are duplicates in single bib database,public class duplication checker,
directory preferences are not yet migrated since it is not quote clear how to parse and reinterpret user defined old style patterns and default pattern is,,
doi search,optional doi doi entry get field standard field doi flat map doi::parse,
double click edit,linked file edit,
word should start with capital letter each first uppers,,
entries will be sorted based on internal ds,comparators add new id comparator,
entry type unknown treat fields as required,return collections empty sorted set,
error stream has been closed see if there were errors,if sb to string trim is empty,
executes parsing logic and returns result containing information and generated bib database,aux parser result parse path aux file,
export in title order title author editor,prefs put boolean jab ref preferences export in specified order true,
field based check,return bib database mode bibtex,
fields to check for do is,private static final list field fields arrays as list standard field note standard field url new unknown field ee,
file type is not given and therefore application specified let os handle opening of file,native desktop open file file path,
filter text field,setup clear button field search field,
finds entry with specified id,public synchronized optional bib entry get entry by id string,
first ask if user really wants to close if library has not been saved since last save,list string filenames new array list,
first character and character after as upper case everything else in lower case obey,title lowers,
first check if doi field is empty,if entry has field standard field doi,
first clear existing content,this get children clear,
first compute citation markers for citations,string cit markers new string names size,
first priority vm argument,logger info using css from vm option css vm argument,
first make map of entries,map string bibtex string remaining new hash map,
for types,private final text flow description text flow new text flow,
for keyword group,private final text field keyword group search term new text field,
formats doi removes http part and also moves do is from note url or ee field to doi field,public class doi cleanup implements cleanup job,
get strings used in entries,public collection bibtex string get used strings collection bib entry entries,
get descendant of node as indicated by indexed path if path could not be traversed completely one of child indices did not exist empty optional will be returned,public optional get descendant list integer indexed path,
get path from root node to node elements in returned list represent child index of node in path starting at root if node is root node returned list has zero elements,public list integer get indexed path from root,
gets forward order list of node children returned list is unmodifiable use add and remove methods to modify nodes children however changing nodes children for example by calling move to is reflected in change of list returned by get children in other words get children provides read only view on children but not copy,public observable list get children,
gets scroll pane to display error info when recommendations fail,private scroll pane get error info,
global variable to store current brace level,private int brace level,
icon and group name,new view model tree table cell factory group node view model,
icon set tool tip text localization lang open folder,table icons put standard field folder icon,
icon set tool tip text localization lang open doi localization lang web link,table icons put standard field doi icon,
icon set tool tip text localization lang open ps,table icons put standard field ps icon,
if entry found,if entry is present,
if field contains only one value it has to be nulled otherwise setting does not empty field,field get values size,
if changes have been stored simply use defaults,if globals prefs get jab ref preferences external file types null null,
if modifier keys are pressed only special keys can be shortcuts,if modifiers is empty,
if label represents string contained in database returns that string content resolves references to other strings taking care not to follow circular reference pattern if string is undefined returns null,private string resolve string string label set string used ids set string all used ids,
if option is enabled open last edited libraries if,if is blank globals prefs get boolean jab ref preferences open last edited,
if suffix does not seem to give reasonable file type try with non stripped link,int index link last index of,
if directory is relative we try to interpret it as relative to file path of bib file,optional file database file get database file,
if we are supposed to set character format for citations test before making changes way we can throw exception before reference marks are removed preventing damage to user document,if style is format citations,
if we do not have numbered entries we need to sort entries before adding them,if style is sort by position,
initial service manager, multi component factory local service manager local context get service manager,
insert basic jurt factories,insert basic factories set imp loader,
insert bookmark,string name get unique reference mark name key string,
insert bridgefactory, set insert imp loader activate com sun star comp bridgefactory bridge factory null null null,
insert factory of url resolver, set insert imp loader activate com sun star comp urlresolver url resolver null null null,
inserts bibtex string,public synchronized void add string bibtex string string throws key collision exception,
inserts citation into xlsfo body and copies it to clipboard,protected static clipboard content process xsl fo list string citations,
inserts entry given that id is not already in use use to make up unique id for entry,public synchronized boolean insert entry bib entry entry throws key collision exception,
joins citation with newline and returns it,protected static clipboard content process text list string citations,
keep subtree handle but restore everything else from backup,subtree root remove all children,
kill backslash,sb delete char at sb length,
log messages,string issue details details>\n summary detail information,
look up directories set up for given field type for database if directory is set up return defined in global preferences there can be up to three directory definitions for files database metadata can specify general directory and or user specific directory or preferences can specify one settings are prioritized in following order and first defined setting is used ol li metadata< li li user specific directory< li li preferences directory< li li bib file directory< li ol,public list string get file directories field field file preferences preferences,
looks for markings such as markedentry nicolas:6 in given list of entries,private multimap string bib entry get marking with entries list bib entry entries,
make sure to always run in java fx thread as file monitor and notifications live in different thread,default task executor run in java fx thread,
makes sure that given component is not visible,public void hide side pane type type,
merged string always present,original entry set field field,
migrate preferences from net sf jabref to org jabref,private static void upgrade prefs to org jab ref preferences main prefs node,
migrate import patterns check for prefs node for version,if main prefs node get jab ref preferences import filenamepattern null null,
migrate label pattern configuration from versions to new bibtex key patterns,private static void upgrade label pattern to bibtex key pattern jab ref preferences prefs,
migrate type specific patterns check for prefs node for version,if main prefs node node exists logic labelpattern,
data,,
data,,
text documents found,throw new no document exception no writer documents found,
node used for version,else if main prefs node node exists label pattern,
node used for version,else if main prefs node node exists logic label pattern,
none of names as is names natbib names as is names ff,return author list fix author last name first commas name to format abbr author names false,
normalize white spaces replace placeholder if used,command command replace all \\s+,
nothing to do,return,
now set up array to write to prefs containing new types modified types and flag denoting default type has been removed,string array new string types size def types size,
now do actual removal,if,
only relay event if field changes are more than one character or new field is edited,field change field changed event event,
open external file attempting to use correct viewer for it,public static boolean open external file any format final bib database context database context string link,
opens new shared database tab with given @link dbms connection properties @param dbms connection properties connection data base panel also used by @link save database action,public base panel open new shared database tab dbms connection properties dbms connection properties,
original string always present,ce add edit new undoable field change original entry field null,
perform import operation,public class import command extends simple command,
preamble,if preamble null,
pretend to be browser agent referrer,connection user agent url download user agent,
provides context menus for text fields of entry editor note that we use @link supplier to prevent early instantiation of menus therefore they are attached to text field but instantiation happens on first right click of user in field late instantiation is done by @link org jabref gui fieldeditors editor text area add to context menu java util function supplier,public class editor menus,
put group nodes as content,dragboard dragboard tree table start drag and drop transfer mode move,
query syntax to search for entry matches one and two in field is one two,return 252b query trim replace all \\s+ 20%252b,
query number of extra entries pulled in due to crossrefs from other entries,public int get cross ref entries count,
receives collection of bib entry instances iterates through them and removes entries have fields set is useful for rooting out unsucessful import wrong format returns number of empty entries,public static list bib entry purge empty entries collection bib entry entries,
register undo event only if new cite keys were generated,if compound has edits,
register undo action,for field change change changes,
remember choice,auto remove exact duplicates set true,
remove reference marks do not look like jab ref citations,list string result new array list,
remove disclosure node since we display custom version in separate column simply setting to null is not enough since it would be replaced by default node on change,row set disclosure node null,
remove filename,uniq path uniq path substring uniq path last index of file separator,
remove separator,items remove,
removes given child from node child list giving it empty parent,public void remove child child,
removes given entry entry is removed based on @link bib entry id,public synchronized void remove entry bib entry to be deleted entry event source event source,
removes node from parent and makes it child of specified node by adding it to end of children list in way whole subtree based at node is moved to given node,public void move to target,
removes node from parent and makes it child of specified node in way whole subchain based at node is moved to given node,public void move to target,
represents node in chain we view chain as vertical hierarchy and thus refer to previous node as parent and next node is child in usual implementations nodes function as wrappers around data object thus normally they have value property allows access to value stored in node in contrast to approach chain node class is designed to be used as base class provides tree traversing functionality via inheritance example usage private class basic chain node extends chain node basic chain node public basic chain node super basic chain node class,@suppress warnings unchecked we use explicit casts of form constructor ensures that cast is valid,
represents node in tree usually tree nodes have value property allows access to value stored in node in contrast to approach tree node class is designed to be used as base class provides tree traversing functionality via inheritance example usage private class basic tree node extends tree node basic tree node public basic tree node super basic tree node class class started out as copy of javax swing tree default mutable tree node,we use explicit casts of form constructor ensures that cast is valid,
represents everything related to bib file entries are stored in bib database other data in meta data and options relevant for file in defaults,public class bib database context,
reset list of external file types after user customization,public void set external file types list external file type types,
restore window location and or maximised state,if globals prefs get boolean jab ref preferences window maximised,
result of duplicate search uses @link for identifying objects for removal as completely identical bib entry bib entries are equal to other,class duplicate search result,
return instance signifies unknown file type,return optional of new unknown external file type name,
returns relative size of field editor in terms of display space value of means that editor gets exactly as much space as other regular editors value of means that editor gets twice as much space as regular editors,default double get weight return,
returns @link bib database mode equals given string use of capital and small letters in string does not matter if bibtex nor biblatex is given string then @link illegal argument exception will be thrown,public static bib database mode parse string data,
returns child at specified index in node children collection,public optional get child at int index,
returns entry with given bibtex key,public synchronized optional bib entry get entry by key string key,
returns list of entries sorted by given comparator,public synchronized list bib entry get entries sorted comparator bib entry comparator,
returns number of children of node,public int get number of children,
returns number of entries,public int get entry count,
returns number of occurrences of given key in database,public int get number of key occurrences string cite key,
returns number of strings,public int get string count,
returns root of tree contains node root is ancestor with empty parent thus node without parent is considered own root,public get root,
returns node last child if it exists otherwise returns empty optional,public optional get last child,
returns true if node is ancestor of given node node is considered ancestor of itself,public boolean is ancestor of another node,
revert change,try,
run actual open in thread to prevent program locking until file is loaded,if files to open is empty,
scan for pdf,elements elements html body select href,
see,int on selected delta,
see if we removed final one if so we must perhaps raise base panel in question,if removed initial count,
sends selected entry as email by oliver kopp it uses mailto: mechanism microsoft outlook does not support attachments via mailto therefore folder where file belonging to entry are stored are opened feature is disabled by default and can be switched on at preferences external programs,public class send as mail action implements base action,
setting character format failed so we throw exception will result in error message for user before delete space we inserted, view cursor go left short true,
set title frame title panel get bib database context get dbms synchronizer get db name localization lang shared mode info,,
shift on windows or modifier,copy,
should return localized identifier to use for tab identifier for tab for instance general appearance or external files,string get tab name,
show editor if user want us to do,bib entry first new entry entries to add get,
shows group add edit dialog,public group dialog dialog service dialog service base panel base panel jab ref preferences prefs abstract group edited group,
skip further processing as prefs already have been migrated,else,
skip further processing as prefs already have been migrated,logger debug new prefs node already exists with content skipping migration,
sorted by localization,private final sorted map key binding string bindings,
store source for on focus out event in source code within text area and update source code for change of entry field values,bindings helper bind content bidirectional entry get fields observable code area focused property on focus,
store two entries,bib entry one selected entries get,
store undo information,string new val file field writer get string representation linked file,
strings are still not found must have been removed,for bibtex string original not matched,
support following gesture to select entries click on one row hold mouse button move over other rows we need to select items between starting row and row where user currently hovers mouse over it is not enough to just select currently hovered row since then sometimes rows are not marked selected if user moves to fast,@suppress warnings unchecked,
take given collection of bib entry and resolve string references,public list bib entry resolve for strings collection bib entry entries to resolve boolean in place,
tears down things started by jab ref fixme currently threads remain and therefore hinder jab ref to be closed properly @param filenames filenames of currently opened files used for storing them if prefs open last edited is set to true,private void string filenames,
test to see if we found anything,if result null,
following state listener makes sure focus is registered with correct database when user switches tabs without cut paste copy operations would times occur in wrong tab,easy bind subscribe tabbed pane get selection model selected item property tab,
formatter is used for filter design pattern extending classes have to accept string and returned formatted version of it implementations have to reside in logic package example john von neumann von neumann john,public abstract class formatter,
lines above work also if dir does not exist at all null is accepted by filechooser as inital path explicit null check if somehow parent is null as files exists throws npe otherwise,if directory null files exists directory,
log event will be forwarded to @link log messages archive,@override,
mac adapter calls method when bib file has been double clicked from finder,public void open action string file path,
string was removed or renamed locally we guess that it was removed,bibtex string bs new bibtex string disk content,
user has modified from default values,while preferences has key jab ref preferences custom tab name,
then set fields have been set by user,for map entry field string field new entry get field map entry set,
class contains code taken from @link com sun javafx scene control behavior text input control behavior witch is not accessible and thus we have other choice todo remove ugly workaround as soon as control behavior is made public reported at,public class text input control behavior,
class is used in instance of field being modified removed or added,public class field change,
class represents change in field value relevant information is bib entry field name old and new value old new values can be null,public class undoable key change extends,
class represents view model for objects of key binding class it has two properties representing localized name of action and key bind it can also represent key binding category instead of key bind itself,public class key binding view model,
event is automatically fired at same time as @link entry event group updated event or meta data changed event,public class bib database context changed event,
indicates that specific importer was specified and that importer has thrown io exception we store exception so relevant error message can be displayed,import error,
is simple string based suggestion provider generic suggestions are turned into strings for processing,private static class suggestion provider string extends suggestion provider,
is only exception explicitly thrown here,catch illegal argument exception ex,
method is called value to be in line with other methods,public list string get default value,
method is called before @link store settings method to check if there are illegal settings in tab or if is ready to be closed if tab is not ready it should display message to user informing about illegal setting,boolean validate settings,
method is called when user presses ok in preferences dialog implementing classes must make sure settings presented get stored in jab ref preferences,void store settings,
method removes currently selected file from set of journal abbreviation files will not remove existing files from file system @code active file property will always change to previous file in @code journal files list property except first file is selected if so next file will be selected except if there are more files than @code active file property will be set to @code null,public void remove current file,
method takes string of form field1 spacer field2 spacer field3 where fields are required fields of bib tex entry string is split into fields and spacers by recognizing and,public static list string bibtex key pattern,
methods assures information in given entry is included as suggestions,public void index entry bib entry bib entry,
might be pdf already as we follow redirects,if type get mime type starts with application pdf,
seems not working,notification pane show validation message get message,
should be impossible anyway,return,
starts export of files of selected nodes in file tree view,private void start export,
string is used in encoded list in prefs of external file type modifications in order to indicate removed default file type,private static final string file type removed flag removed,
worker stored style as filename csl adapter and citation style cache store source of style therefore we extract style source from file,string style source null,
todo add undo if undo is empty ce add edit undoable change entries of group get undoable edit new group tree node view model node undo,,
todo add undo if undo is empty panel get undo manager add edit undoable change entries of group get undoable edit node undo,,
todo move to os java,public static native desktop get native desktop,
todo null, get node get parent get get group instanceof all entries group,
todo panel get undo manager add edit ce,,
todo remove as soon as possible,public class custom jfx panel,
todo warn if assignment has undesired side effects modifies field keywords if warn assignment side effects warn assignment side effects group group selector frame return user aborted operation,,
todo we should also check is node descendant,boolean can drop other group dragboard has content drag and drop data formats group,
tries to find fulltext url for given bib tex entry currently only uses doi if found,@override,
tries to infer database type by examining bib database database checks are based on case insensitive comparison of entry tag names only standard bib tex and biblatex entry types are considered in decision process check if of entries is type exclusive to biblatex check if exclusive biblatex fields are present otherwise return bib tex,public static bib database mode infer mode bib database database,
update tab titles,update all tab titles,
update tables,if bf get database null,
use configured sorting strategy,list field comparator field comparators save order get,
use currently shown positions of visible components,int index,
used to detect string references in strings,private static final pattern reference pattern pattern compile za,
variable contains user defined behavior for paste action,private paste action handler,
warning before overwriting is only relevant if overwriting can happen,warn before overwriting set disable dont overwrite is selected,
warp everything in scroll pane,scroll pane scroll pane new scroll pane,
we are last to ask we do not have anything left,return get last level bibtex key pattern entry type,
we check if field has changed since we do not want to mark base as changed unless we have real change,if database get preamble or else equals new preamble,
we found next string ref append text up to it,if next,
we have to use reflection since table util is not visible to us,try,
we have to use model class here as content of dragboard must be serializable,content put drag and drop data formats linked file selected item,
we need to keep reference to binding since it otherwise gets discarded,field binding entry get field binding field,
we removed and added entries,undo remove add edit undoable change entries of group get undoable edit this changes add,
we use explicit casts of form constructor ensures that cast is valid,@suppress warnings unchecked public abstract class tree node extends tree node,
write strings in alphabetical order modified to produce safe for bib te order of strings if they reference other,private void write strings bib database database throws io exception,
write meta data,write meta data bib database context get meta data preferences get global cite key pattern,
write preamble if there is one,write preamble bib database context get database get preamble or else,
write to file,exporter export panel get bib database context tmp,
